file,alpha,seed,energy,BB_mean_deg,BB_min_deg,BB_max_deg,BL_p50_deg,BL_mean_deg,LL_p50_deg,LL_mean_deg
MAP_N6_NB2_NL4_a1p3_s3_results_global.json,1.3,3,19.337328975397167,85.7814205432524,85.7814205432524,85.7814205432524,88.81658458704382,110.18344997395779,92.32623202896951,106.13170309239376
MAP_N6_NB2_NL4_a1p3_s4_results_global.json,1.3,4,19.33737552379109,85.61605925375324,85.61605925375324,85.61605925375324,88.82287265894098,110.2488178414697,92.27677269205199,106.10099027760988
MAP_N6_NB2_NL4_a1p3_s5_results_global.json,1.3,5,19.33737332518728,85.74415045942852,85.74415045942852,85.74415045942852,88.78861331041774,110.2381460861949,92.24003205579567,106.11545587239506
MAP_N6_NB2_NL4_a1p45_s1_results_global.json,1.45,1,22.58162653255477,84.09911149845853,84.09911149845853,84.09911149845853,88.15988519541142,109.20857568326267,93.31874161347173,106.53416709584316
MAP_N6_NB2_NL4_a1p45_s2_results_global.json,1.45,2,22.58160437775015,84.3143695444439,84.3143695444439,84.3143695444439,88.30204995379424,109.29679420398,93.2467008993753,106.50200760305903
MAP_N6_NB2_NL4_a1p45_s3_results_global.json,1.45,3,22.58161606345209,84.20397860979736,84.20397860979736,84.20397860979736,88.23498532674037,109.2534968780724,93.24183609074507,106.53318406376998
MAP_N6_NB2_NL4_a1p45_s4_results_global.json,1.45,4,22.581646934764596,84.17859365474256,84.17859365474256,84.17859365474256,88.2020007649182,109.27541032841515,93.39200371799836,106.50419020766044
MAP_N6_NB2_NL4_a1p45_s5_results_global.json,1.45,5,22.581602864365927,84.1507853259454,84.1507853259454,84.1507853259454,88.29760581955622,109.25748403667113,93.29732358243149,106.51792209021077
MAP_N6_NB2_NL4_a1p4_s1_results_global.json,1.4,1,21.476186274304986,84.76859217322347,84.76859217322347,84.76859217322347,88.31234238724555,109.56963649942988,92.99920909132152,106.38653540248201
MAP_N6_NB2_NL4_a1p4_s2_results_global.json,1.4,2,21.476189513986935,84.50086643868374,84.50086643868374,84.50086643868374,88.45513774913704,109.55310525844587,92.92939941966975,106.40030976602027
MAP_N6_NB2_NL4_a1p4_s3_results_global.json,1.4,3,21.476202937609557,84.81450782491089,84.81450782491089,84.81450782491089,88.46181939008216,109.61144402842928,92.94772866855547,106.3726726361251
MAP_N6_NB2_NL4_a1p4_s4_results_global.json,1.4,4,21.476232664074836,84.79160531835609,84.79160531835609,84.79160531835609,88.46436613218162,109.54674808576138,93.03224581588128,106.40112769697886
MAP_N6_NB2_NL4_a1p4_s5_results_global.json,1.4,5,21.476185814284577,84.63360788997002,84.63360788997002,84.63360788997002,88.33562103919087,109.54507341617696,92.97981253722614,106.40399153223241
MAP_N6_NB2_NL4_a1p55_s1_results_global.json,1.55,1,24.8640960927237,83.18674489962171,83.18674489962171,83.18674489962171,87.87760775352234,108.67606436910428,93.81020094028278,106.75998885347599
MAP_N6_NB2_NL4_a1p55_s2_results_global.json,1.55,2,24.86412905400428,83.18862231874046,83.18862231874046,83.18862231874046,87.85571499871003,108.62883116818874,93.81564087348553,106.77720528921941
MAP_N6_NB2_NL4_a1p55_s3_results_global.json,1.55,3,24.864125833027366,83.29066196624841,83.29066196624841,83.29066196624841,87.89761087882306,108.71129780427611,93.81759566681855,106.74558852123937
MAP_N6_NB2_NL4_a1p55_s4_results_global.json,1.55,4,24.864133203550093,83.18042787719149,83.18042787719149,83.18042787719149,87.89837563048698,108.71934757604285,93.7826084095594,106.73960872299305
MAP_N6_NB2_NL4_a1p55_s5_results_global.json,1.55,5,24.864134475317993,83.18372254588225,83.18372254588225,83.18372254588225,87.92253188127412,108.69057921919375,93.87174693004809,106.7477782094332
MAP_N6_NB2_NL4_a1p5_s1_results_global.json,1.5,1,23.710949493036434,83.90492209324525,83.90492209324525,83.90492209324525,87.94827018263553,109.03289510537108,93.51250943123989,106.60688708801786
MAP_N6_NB2_NL4_a1p5_s2_results_global.json,1.5,2,23.710921473994528,83.81889941604317,83.81889941604317,83.81889941604317,88.02013004783794,108.9731819463721,93.55353803078526,106.63958755004812
MAP_N6_NB2_NL4_a1p5_s3_results_global.json,1.5,3,23.71097031060769,83.97187501118289,83.97187501118289,83.97187501118289,87.97958051858981,109.01217428326721,93.59917135248523,106.61541317228004
MAP_N6_NB2_NL4_a1p5_s4_results_global.json,1.5,4,23.710890796790714,83.67524339867157,83.67524339867157,83.67524339867157,87.99655699909496,108.9723511514527,93.46090803553456,106.6464796967296
MAP_N6_NB2_NL4_a1p5_s5_results_global.json,1.5,5,23.710944021299355,83.78352730301943,83.78352730301943,83.78352730301943,88.10911304223686,109.01458825512114,93.58707075400693,106.61491620732835
MAP_N6_NB2_NL4_a1p65_s1_results_global.json,1.65,1,27.242000556894094,82.32419496484322,82.32419496484322,82.32419496484322,87.55024392892392,108.12437022013074,94.2977366724235,106.97503048394738
MAP_N6_NB2_NL4_a1p65_s2_results_global.json,1.65,2,27.24199699674795,82.63549666000826,82.63549666000826,82.63549666000826,87.61602048406945,108.18572899949837,94.34015941132787,106.94540065788203
MAP_N6_NB2_NL4_a1p65_s3_results_global.json,1.65,3,27.24200509211286,82.64058602592208,82.64058602592208,82.64058602592208,87.63887655897508,108.18142654973194,94.34125641753815,106.94380961637937
MAP_N6_NB2_NL4_a1p65_s4_results_global.json,1.65,4,27.241976761153687,82.49998587899215,82.49998587899215,82.49998587899215,87.56831617305434,108.23907194300895,94.27200307188801,106.91436273808203
MAP_N6_NB2_NL4_a1p65_s5_results_global.json,1.65,5,27.242033403695935,82.59241982062657,82.59241982062657,82.59241982062657,87.47093542270476,108.18916503384695,94.26265155035284,106.94656601990557
MAP_N6_NB2_NL4_a1p6_s1_results_global.json,1.6,1,26.041145050255693,82.83500558766937,82.83500558766937,82.83500558766937,87.75068440016082,108.43903270406315,94.02048167359087,106.85495662280532
MAP_N6_NB2_NL4_a1p6_s2_results_global.json,1.6,2,26.041166039075566,83.21913158393843,83.21913158393843,83.21913158393843,87.6789662757209,108.4616337215781,94.18081755936575,106.82888563412769
MAP_N6_NB2_NL4_a1p6_s3_results_global.json,1.6,3,26.041159843021738,83.18094988975339,83.18094988975339,83.18094988975339,87.73645196733425,108.4628581918958,94.02431737695142,106.83568944672517
